"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","POST /admin/v2/customers","3","0","Missing token returns 401","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'first_name'","0"
"0","","0","POST /admin/v2/customers","2","0","Auth cases from dataset","0"
"0","","0","POST /admin/v2/customers","10","0","Negative cases from dataset","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'email'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'email'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'last_name'","0"
"0","","0","POST /admin/v2/customers","5","0","Positive cases from dataset","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'last_name'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'first_name'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'mobile'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'birthday'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'last_name'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'email'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'mobile'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'gender'","0"
"0","","3","POST /admin/v2/customers","1","0","missing required field 'first_name'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'gender'","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'gender'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'mobile_code_country'","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'mobile'","0"
"0","","1","POST /admin/v2/customers","1","0","invalid type for 'mobile_code_country'","0"
"0","","1","POST /admin/v2/customers","1","0","null value for 'birthday'","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'birthday'","0"
"0","","1","POST /admin/v2/customers","1","0","missing required field 'mobile_code_country'","0"
"0","","0","POST /admin/v2/customers","2","0","Happy path generated from cURL","0"
